Filename,Segment,WC,Sixltr,negate,insight,cause,discrep,tentat,certain,inhib,incl,excl
"Brown v. State, 295 Ga. 240.txt",1,636,19.81,1.26,0.94,0.79,0.79,1.89,2.20,0.31,2.36,1.57
"Crump Ins. Servs. v. All Risks, Ltd., 315 Ga. App. 490.txt",1,498,24.50,0.60,3.01,1.20,2.01,2.01,4.22,2.61,2.41,0.80
"Apoian v. State, 313 Ga. App. 800.txt",1,760,30.13,1.45,2.24,1.71,1.05,3.95,1.84,0.92,3.16,2.63
"Watkins v. Ballinger, 308 Ga. 387.txt",1,55,18.18,1.82,1.82,0.00,0.00,5.45,0.00,0.00,0.00,0.00
"Wagner v. State, 311 Ga. App. 589.txt",1,592,23.65,1.01,2.87,3.21,0.51,3.21,3.89,0.51,3.55,3.21
"Jones, Martin, Parris & Tessener Law Offices, PLLC v. Westrex Corp., 310 Ga. App. 192.txt",1,875,21.83,1.37,4.57,3.20,1.26,2.51,0.69,0.57,4.11,2.29
"State v. Brown, 315 Ga. App. 282.txt",1,1004,27.39,1.59,3.29,2.49,0.60,2.19,1.39,2.89,3.69,2.29
"Martinez v. State, 315 Ga. App. 727.txt",1,214,29.44,0.93,7.48,1.40,1.87,2.80,2.80,1.87,1.87,2.80
"Bailey v. Cottrell, Inc., 313 Ga. App. 371.txt",1,937,25.40,0.85,2.77,2.77,1.60,1.92,2.13,1.81,2.45,1.92
"Levin v. Morales, 295 Ga. 781.txt",1,1026,22.51,1.27,3.02,0.58,1.27,3.41,2.83,1.27,2.53,1.85
"Daddario v. State, 307 Ga. 179.txt",1,1271,27.07,1.49,2.20,3.93,0.94,3.54,0.94,0.24,3.46,4.33
"Dixson v. State, 313 Ga. App. 379.txt",1,995,24.52,1.21,1.61,2.01,0.40,3.52,2.31,1.11,2.61,3.82
"McConville v. Cotton States Mut. Ins. Co., 315 Ga. App. 11.txt",1,126,28.57,1.59,4.76,1.59,1.59,2.38,2.38,0.00,3.17,3.17
"Thomas v. HL-A Co., 313 Ga. App. 94.txt",1,604,25.66,1.99,1.49,2.32,1.32,2.98,2.65,2.98,3.31,3.64
