Filename,Segment,WC,Sixltr,negate,insight,cause,discrep,tentat,certain,inhib,incl,excl
"Davis v. State, 2014 Fla. LEXIS 2171.txt",1,346,24.28,2.02,1.16,3.18,0.87,2.60,0.58,1.73,2.02,2.89
"State v. Lucas, 183 So. 3d 1027.txt",1,351,27.92,1.71,4.56,1.42,2.28,1.14,1.14,5.41,1.42,2.28
"Cantore v. W. Boca Med. Ctr., 254 So. 3d 256.txt",1,2435,34.41,1.85,3.04,2.55,1.81,1.93,2.55,1.40,2.63,2.59
"Anucinski v. State, 148 So. 3d 106.txt",1,1168,24.23,1.63,2.05,1.63,1.03,1.37,1.28,0.68,5.14,2.48
"Chandler v. Geico Indem. Co., 78 So. 3d 1293.txt",1,354,29.10,2.54,3.95,1.98,1.41,1.69,2.54,2.54,3.67,1.98
"Tracey v. State, 152 So. 3d 504.txt",1,1644,27.49,1.64,5.47,2.37,2.62,1.52,0.97,0.73,1.76,1.52
"Bevel v. State, 221 So. 3d 1168.txt",1,34,20.59,0.00,0.00,0.00,0.00,5.88,0.00,0.00,11.76,0.00
"Citizens for Strong Schs., Inc. v. Fla. State Bd. of Educ., 262 So. 3d 127.txt",1,929,27.99,1.18,2.80,2.91,1.51,1.40,1.18,1.29,4.41,1.51
"Hall v. State, 201 So. 3d 628.txt",1,746,26.81,1.21,1.21,1.47,0.94,1.47,1.88,1.21,2.68,2.55
"Schlabach v. State, 37 So. 3d 230.txt",1,78,28.21,0.00,5.13,5.13,0.00,1.28,2.56,2.56,3.85,0.00
"Hojan v. State, 212 So. 3d 982.txt",1,29,24.14,0.00,0.00,0.00,0.00,3.45,0.00,0.00,10.34,0.00
"Matarranz v. State, 133 So. 3d 473.txt",1,885,27.46,0.79,4.86,2.60,0.45,1.24,1.24,0.68,3.28,1.47
"Cole v. State, 221 So. 3d 534.txt",1,674,24.78,1.63,2.82,1.63,0.59,1.78,0.45,0.45,4.15,1.19
"Joyner v. Fla. House of Representatives, 163 So. 3d 503.txt",1,611,28.81,1.64,1.80,2.13,0.65,2.13,0.98,1.31,1.80,1.96
"Noel v. State, 191 So. 3d 370.txt",1,94,19.15,1.06,3.19,3.19,2.13,3.19,0.00,1.06,1.06,2.13
"J.A. v. Heart of Adoptions, Inc. (In the Interest of Baby H.), 2007 Fla. App. LEXIS 1404.txt",1,662,27.49,1.66,2.87,1.06,0.60,2.27,0.76,1.66,4.68,1.96
"Troy v. State, 57 So. 3d 828.txt",1,78,30.77,0.00,3.85,2.56,0.00,0.00,0.00,1.28,2.56,1.28
"M.A.B. v. State, 957 So. 2d 1219.txt",1,7083,26.18,1.65,4.48,1.60,1.17,3.15,1.02,1.07,2.53,2.33
"Villanueva v. State, 200 So. 3d 47.txt",1,1013,32.28,1.18,4.54,2.57,1.18,1.68,0.69,1.68,1.97,2.37
"Fla. Bar v. Merkin, 2018 Fla. LEXIS 1754.txt",1,118,22.03,0.85,2.54,1.69,0.85,0.85,0.85,1.69,4.24,1.69
"Jeffries v. State, 222 So. 3d 538.txt",1,62,17.74,0.00,0.00,0.00,0.00,1.61,0.00,0.00,3.23,0.00
"Joyce v. Federated Nat'l Ins. Co., 228 So. 3d 1122.txt",1,4326,27.83,1.53,3.84,3.05,1.46,2.75,1.36,0.58,2.13,1.87
"League of Women Voters of Fla. v. Detzner, 179 So. 3d 258.txt",1,6856,27.51,1.33,2.26,1.94,1.05,1.74,0.61,0.96,3.79,2.07
"Bennett v. St. Vincent's Med. Ctr., Inc., 71 So. 3d 828.txt",1,283,32.86,1.77,5.65,2.83,1.41,2.83,0.35,2.47,1.41,3.18
"Mady v. DaimlerChrysler Corp., 59 So. 3d 1129.txt",1,2290,29.65,1.62,2.36,2.23,0.96,1.79,1.00,0.52,2.31,1.53
"Kopel v. Kopel, 229 So. 3d 812.txt",1,636,33.33,1.10,2.83,3.30,0.79,1.73,2.83,0.79,2.04,2.67
"Citrus County Hosp. Bd. v. Citrus Mem. Health Found., Inc., 150 So. 3d 1102.txt",1,1349,32.02,2.15,2.59,5.04,0.82,2.00,0.89,1.33,3.11,2.52
"In re Amendments to the Fla. Rules of Crim. Procedure & the Fla. Rules of Appellate Procedure, 112 S.txt",1,8201,26.47,1.54,1.99,1.99,1.29,3.39,2.38,1.26,3.29,3.37
"Saleeby v. Rocky Elson Constr., Inc., 3 So. 3d 1078.txt",1,2659,31.10,1.54,2.93,2.71,1.47,2.18,1.62,0.90,1.32,2.78
"In re Senate Joint Resolution of Legislative Apportionment 1176, 83 So. 3d 597.txt",1,5306,33.34,1.47,4.24,2.47,0.68,1.64,1.21,1.96,3.39,1.68
"Reed v. State, 259 So. 3d 718.txt",1,95,22.11,2.11,6.32,2.11,3.16,5.26,1.05,0.00,3.16,5.26
"Rigterink v. State, 66 So. 3d 866.txt",1,228,37.28,1.75,2.19,2.19,1.75,1.75,5.26,3.51,2.63,1.75
"State v. Markus, 211 So. 3d 894.txt",1,2995,27.31,1.80,3.44,2.10,0.93,1.47,1.70,1.47,2.17,1.90
"Paff v. State, 884 So. 2d 271.txt",1,1123,30.45,1.34,5.34,3.29,0.80,1.60,1.69,1.25,2.94,1.42
"In re Amendments to the Fla. Rules of Civ. Procedure, 44 So. 3d 555.txt",1,2321,26.67,0.99,2.71,1.55,1.59,3.27,1.77,0.86,4.14,3.02
"Wheaton v. Wheaton, 261 So. 3d 1236.txt",1,535,27.29,1.68,2.62,2.43,0.56,0.93,1.12,2.43,1.87,2.80
"In re Amendments to the Fla. Evidence Code, 2013 Fla. LEXIS 2684.txt",1,27,33.33,0.00,0.00,3.70,3.70,0.00,3.70,0.00,7.41,0.00
"Myers v. State, 211 So. 3d 962.txt",1,758,25.46,1.98,3.43,1.98,0.92,2.64,0.92,0.79,4.49,3.43
