Filename,Segment,WC,Sixltr,negate,insight,cause,discrep,tentat,certain,inhib,incl,excl
"Zab, Inc. v. Berenergy Corp., 136 P.3d 252.txt",1,519,26.40,1.73,3.66,3.47,0.96,3.08,1.16,0.58,2.31,4.24
"People v. Elmarr, 181 P.3d 1157.txt",1,403,29.28,0.50,4.22,3.47,0.99,1.99,1.99,0.50,1.99,0.74
"FDIC v. Fisher, 2013 CO 5.txt",1,1273,27.02,1.49,2.59,3.06,1.89,1.89,1.26,1.18,2.51,2.99
"Town of Telluride v. San Miguel Valley Corp., 185 P.3d 161.txt",1,5776,29.33,0.99,1.64,2.80,0.50,1.85,1.07,1.77,4.74,1.89
"People v. Loveall, 231 P.3d 408.txt",1,1404,27.56,1.99,3.99,2.28,0.85,1.42,1.28,1.50,2.49,1.71
"Olds v. Berry (In re B.B.O.), 2012 CO 40.txt",1,699,24.46,1.72,2.29,2.15,2.15,1.72,1.14,1.72,2.72,2.43
"Bedor v. Johnson, 2013 CO 4.txt",1,4002,29.91,1.22,2.32,3.10,0.97,1.52,0.72,1.20,3.27,2.25
"People v. Ramadon, 2013 CO 68.txt",1,2103,24.96,1.85,5.75,3.33,1.47,1.71,1.62,0.48,1.43,2.76
"Marsh v. People, 2017 CO 10M.txt",1,306,23.53,0.65,1.63,2.29,0.65,2.94,0.98,2.29,1.96,2.29
"United States v. Moya, 748 Fed. Appx. 819.txt",1,1864,28.06,1.82,3.54,1.66,2.04,2.20,1.66,0.70,3.06,4.94
"Trattler v. Citron, 182 P.3d 674.txt",1,5469,29.68,1.37,3.55,1.74,0.79,1.79,0.93,1.50,3.14,2.63
"People v. McCarty, 229 P.3d 1041.txt",1,3178,26.68,1.16,2.99,2.49,1.16,2.11,0.72,1.32,2.49,2.33
"United States v. Delgado-Lopez, 2020 U.S. App. LEXIS 29032.txt",1,1988,27.67,0.65,3.42,1.56,0.75,0.91,0.96,1.31,2.72,1.16
"Planning Partners Int'l, LLC v. QED, Inc., 2013 CO 43.txt",1,135,28.15,1.48,2.22,2.22,0.74,0.74,0.00,1.48,8.15,2.22
"Jiaen Liu v. Barr, 790 Fed. Appx. 947.txt",1,288,30.90,0.69,3.12,1.39,2.08,1.04,0.35,1.04,2.43,1.74
"Mesa County Bd. of County Comm'rs v. State, 203 P.3d 519.txt",1,9499,29.53,1.49,2.19,2.74,0.84,1.68,1.02,3.11,2.82,1.99
"Vickery v. Evans, 266 P.3d 390.txt",1,1871,35.44,1.02,2.46,2.57,0.91,1.55,1.12,1.23,2.99,2.08
"Utah Native Plant Soc'y v. United States Forest Serv., 923 F.3d 860.txt",1,1507,25.08,1.99,2.46,2.85,1.13,2.26,0.73,1.53,2.65,3.19
"Villanueva v. People, 199 P.3d 1228.txt",1,5853,29.16,1.73,3.90,4.84,1.08,1.62,2.39,0.79,2.43,2.20
"Burnett v. State Dep't of Natural Res., Div. of Parks & Outdoor Rec., 2015 CO 19.txt",1,794,29.09,1.64,2.64,3.90,0.76,2.39,0.63,0.63,1.51,1.64
"People v. Chamberlain, 229 P.3d 1054.txt",1,1996,29.76,0.80,4.36,3.71,0.85,2.81,0.85,1.65,2.81,1.00
"Matoush v. Lovingood, 177 P.3d 1262.txt",1,526,25.86,1.71,1.14,3.23,1.33,2.09,2.28,1.33,3.42,2.28
"Larson v. Sinclair Transp. Co., 2012 CO 36.txt",1,2451,34.97,1.10,2.41,3.18,0.45,2.98,0.90,0.45,3.84,3.06
"Gen. Steel Domestic Sales, LLC v. Bacheller, 2012 CO 68.txt",1,2110,28.34,2.46,3.27,3.32,1.37,1.09,1.37,0.71,2.42,2.99
"Hall v. Moreno, 2012 CO 14.txt",1,13106,29.58,0.78,2.62,2.18,0.76,1.21,1.10,1.07,4.69,1.18
"Berry v. Keltner, 208 P.3d 247.txt",1,2190,32.47,1.19,3.88,3.01,0.87,1.46,0.55,1.10,3.65,2.05
"People v. Null, 233 P.3d 670.txt",1,3195,29.05,1.88,2.38,2.60,1.00,1.53,1.63,1.41,2.75,2.75
"Allen v. Steele, 252 P.3d 476.txt",1,136,25.00,2.94,1.47,2.94,0.74,1.47,0.74,0.00,2.94,2.21
"Morris v. Goodwin, 185 P.3d 777.txt",1,156,24.36,3.21,0.64,2.56,2.56,0.64,0.64,0.00,1.28,3.21
"S.W. v. Towers Boat Club, Inc., 2013 CO 72.txt",1,3666,30.82,1.31,1.69,1.66,1.50,1.47,1.47,1.61,2.97,2.24
"Gessler v. Colo. Common Cause, 2014 CO 44.txt",1,3276,30.37,1.22,2.87,2.05,1.07,2.26,2.08,1.98,3.51,2.05
"DOT v. Gypsum Ranch Co., LLC, 244 P.3d 127.txt",1,3689,28.60,0.84,1.87,2.25,0.68,2.68,1.03,1.06,2.44,2.49
"Hernandez v. People, 176 P.3d 746.txt",1,672,33.18,1.19,2.23,1.79,0.60,1.49,0.45,2.83,1.79,1.49
"Lyn M. v. Premera Blue Cross, 966 F.3d 1061.txt",1,1597,27.86,1.57,2.69,1.75,1.63,1.88,1.25,2.38,2.38,1.75
"People v. Padilla-Lopez, 2012 CO 49.txt",1,2762,28.71,1.12,1.30,3.33,0.62,1.27,1.27,1.48,3.66,1.96
"Fierro v. People, 206 P.3d 460.txt",1,598,27.76,0.67,0.84,0.84,0.84,3.01,0.67,0.67,3.68,1.84
"Howl v. Alvarado, 783 Fed. Appx. 815.txt",1,1070,28.50,1.40,3.18,2.71,1.78,2.43,0.75,0.93,1.96,2.52
"Carson v. Reiner, 2016 CO 38.txt",1,3339,29.77,0.93,2.40,1.92,1.05,1.95,1.02,1.50,2.85,2.34
"Stamp v. Vail Corp., 172 P.3d 437.txt",1,1673,23.43,1.08,0.90,2.99,2.33,2.69,0.84,1.08,2.15,3.11
"People v. Summers, 208 P.3d 251.txt",1,5035,27.05,1.19,3.32,3.91,0.70,1.67,1.99,2.07,3.06,1.91
"Lane v. Urgitus, 145 P.3d 672.txt",1,1125,29.51,0.71,1.33,2.13,0.71,1.24,1.42,0.89,4.18,0.98
"USAA v. Parker, 200 P.3d 350.txt",1,4824,30.41,0.91,1.20,2.28,1.04,1.16,0.68,1.41,2.30,1.82
"Judd v. Cedar St. Venture (In Re_ District Court, City and County of Denver), 256 P.3d 687.txt",1,100,30.00,1.00,2.00,4.00,3.00,0.00,1.00,0.00,2.00,2.00
"Hagos v. People, 2012 CO 63.txt",1,1724,27.67,0.81,2.73,2.84,0.99,1.68,1.91,0.75,1.33,1.45
"Kobobel v. State Dep't of Natural Res., 249 P.3d 1127.txt",1,6092,22.62,1.30,1.05,2.38,0.43,0.98,1.38,1.53,2.61,1.87
"Kinney v. People, 187 P.3d 548.txt",1,151,26.49,1.99,3.97,3.31,0.00,5.30,0.66,0.00,2.65,3.31
"Wheat Ridge Urban Renewal Auth. v. Cornerstone Group XXII, L.L.C., 176 P.3d 737.txt",1,4712,31.07,1.53,1.59,1.63,1.17,2.02,1.72,1.38,2.31,2.36
"Granite State Ins. Co. v. Ken Caryl Ranch Master Ass'n, 183 P.3d 563.txt",1,98,18.37,2.04,2.04,2.04,1.02,1.02,0.00,0.00,1.02,3.06
"People v. Schutter, 249 P.3d 1123.txt",1,1639,27.58,1.22,4.64,2.50,1.77,2.99,0.85,1.83,2.93,2.26
"United States v. Shrum, 908 F.3d 1219.txt",1,618,26.54,1.46,5.83,4.53,1.29,1.29,0.49,0.32,2.91,2.10
"Cash Advance & Preferred Cash Loans v. Colo. ex rel. Suthers, 242 P.3d 1099.txt",1,173,28.90,1.16,3.47,3.47,1.16,1.16,0.58,0.58,5.20,2.31
