Filename,Segment,WC,Sixltr,negate,insight,cause,discrep,tentat,certain,inhib,incl,excl
"Faludi v. U.S. Shale Sols., L.L.C., 950 F.3d 269.txt",1,167,26.95,2.99,2.40,1.80,1.20,0.60,0.60,1.20,0.60,6.59
"Williams v. Taylor Seidenbach, Inc., 958 F.3d 341.txt",1,3550,24.56,1.55,2.17,1.97,1.38,2.51,1.27,0.34,2.90,3.07
"Wilson v. Houston Cmty. College Sys., 966 F.3d 341.txt",1,583,24.19,3.95,1.89,1.54,0.69,1.37,1.54,1.37,2.23,4.46
"Gurule v. Land Guardian, Inc., 912 F.3d 252.txt",1,573,21.47,2.62,2.27,2.62,3.14,3.14,1.92,0.70,1.57,4.36
"Doe v. Mckesson, 947 F.3d 874.txt",1,1348,31.60,1.71,2.08,2.45,2.00,3.34,1.56,2.30,2.52,3.04
"United States v. Taffaro, 919 F.3d 947.txt",1,595,29.92,1.51,1.51,0.84,0.84,0.84,1.34,1.18,4.71,1.34
"Alaska Elec. Pension Fund v. Asar, 898 F.3d 648.txt",1,1020,30.00,1.37,2.25,3.24,1.27,2.35,2.55,1.57,2.84,3.24
"Collins v. Mnuchin, 938 F.3d 553.txt",1,7638,28.49,1.51,2.03,2.16,1.15,1.51,1.30,1.64,2.75,2.00
"Tex. Democratic Party v. Abbott, 961 F.3d 389.txt",1,2262,24.05,1.41,1.28,1.33,1.59,2.03,1.68,1.11,2.96,2.21
"Nall v. BNSF Ry. Co., 912 F.3d 263.txt",1,2790,29.64,1.83,4.27,3.12,1.76,2.44,1.25,1.68,3.33,3.44
"Wilson v. City of Southlake, 936 F.3d 326.txt",1,596,24.33,2.01,4.03,2.01,0.50,2.18,0.67,1.51,2.35,3.86
"Jackson Women's Health Org. v. Dobbs, 945 F.3d 265.txt",1,3986,27.87,1.10,2.78,2.46,0.80,1.81,1.58,1.61,2.78,1.61
"Delaughter v. Woodall, 909 F.3d 130.txt",1,605,32.56,0.99,2.81,1.49,2.15,2.64,1.65,1.82,3.97,1.98
"Faludi v. U.S. Shale Sols., L.L.C., 936 F.3d 215.txt",1,1229,24.49,1.63,1.46,3.25,1.22,2.93,1.46,1.38,2.60,3.58
"Nall v. BNSF Ry. Co., 917 F.3d 335.txt",1,153,27.45,1.96,1.96,5.23,2.61,3.27,0.65,0.00,1.31,2.61
"United States v. Bostic, 970 F.3d 607.txt",1,566,24.91,1.77,3.00,1.77,0.35,0.88,1.24,0.35,4.77,1.41
"Alexander v. Tex. Dep't of Crim. Justice, 951 F.3d 236.txt",1,2543,25.64,1.30,2.16,1.10,0.94,2.32,1.22,0.98,2.56,2.87
"Alvarez v. City of Brownsville, 904 F.3d 382.txt",1,545,31.56,1.65,2.20,1.65,1.65,2.20,1.65,0.55,2.75,2.02
"Wittmer v. Phillips 66 Co., 915 F.3d 328.txt",1,1656,30.37,1.09,2.54,1.81,0.66,1.27,0.91,1.57,2.48,2.11
"Stringer v. Whitley, 942 F.3d 715.txt",1,946,23.26,1.80,1.80,1.59,2.33,2.33,2.22,1.48,3.49,3.07
"IAS Servs. Grp., L.L.C. v. Jim Buckley & Assocs., 900 F.3d 640.txt",1,1019,27.28,2.55,2.65,3.14,1.28,5.79,1.86,1.67,3.43,5.10
"Quezada v. Bechtel OG & C Constr. Servs., 946 F.3d 837.txt",1,1050,28.19,1.24,1.81,2.57,2.29,1.71,0.67,0.67,1.52,1.62
"Smith v. Sch. Bd. of Concordia Par., 906 F.3d 327.txt",1,1656,26.99,1.45,2.17,1.93,1.33,1.69,1.99,1.39,2.36,1.63
"Whole Woman's Health v. Smith, 896 F.3d 362.txt",1,299,22.74,1.34,3.01,1.34,2.34,3.34,1.00,1.34,2.68,3.68
"Lopez v. Pompeo, 923 F.3d 444.txt",1,1332,24.62,1.20,2.18,1.88,0.45,0.75,0.75,0.68,2.55,1.80
"Pierre v. Vannoy, 891 F.3d 224.txt",1,2189,25.13,2.42,2.74,1.46,0.59,1.32,1.78,1.32,2.06,2.42
"Will v. Davis, 970 F.3d 536.txt",1,1282,27.30,1.95,2.42,2.26,1.17,1.17,1.40,1.17,3.35,2.11
"JCB, Inc. v. Horsburgh & Scott Co., 912 F.3d 238.txt",1,1600,26.81,1.25,3.25,1.94,1.25,4.25,1.00,0.75,3.69,2.69
"Horvath v. City of Leander, 946 F.3d 787.txt",1,4888,28.11,1.49,1.96,1.92,1.35,1.66,1.70,1.86,2.29,2.48
"Voices for Int'l Bus. & Educ., Inc. v. NLRB, 905 F.3d 770.txt",1,2005,28.68,2.39,2.09,1.80,0.80,2.34,2.14,1.10,2.84,2.94
"Spell v. Edwards, 962 F.3d 175.txt",1,1119,25.92,2.32,1.25,1.97,1.79,1.70,1.61,1.61,2.68,3.13
"Harding v. Cty. of Dallas, 948 F.3d 302.txt",1,1090,23.58,1.01,2.66,1.19,1.74,0.92,2.29,1.10,1.47,1.56
