Filename,Segment,WC,Sixltr,negate,insight,cause,discrep,tentat,certain,inhib,incl,excl
"Philipp v. Fed. Republic of Germany, 925 F.3d 1349.txt",1,5499,27.93,0.84,1.29,1.53,1.24,2.64,1.65,1.29,2.20,2.47
"Libertarian Nat'l Comm., Inc. v. FEC, 924 F.3d 533.txt",1,7135,28.44,1.65,2.14,2.51,1.33,2.62,1.33,1.99,2.42,2.47
"Trump v. Mazars USA, LLP, 941 F.3d 1180.txt",1,645,29.61,1.24,1.55,1.55,0.93,1.71,0.93,1.24,2.02,1.86
"Am. Soc'y for Testing & Materials v. Public.Resource.Org, Inc., 896 F.3d 437.txt",1,709,24.96,1.97,2.40,1.83,0.71,2.26,2.82,1.97,3.10,2.40
"Palmieri v. United States, 896 F.3d 579.txt",1,540,28.70,0.74,2.59,1.67,0.93,4.44,0.56,3.33,1.85,3.52
"Reid v. Inch, 920 F.3d 828.txt",1,3804,29.31,1.92,2.10,1.55,1.03,1.97,1.45,1.89,2.81,2.60
"Alcresta Therapeutics, Inc. v. Azar, 755 Fed. Appx. 1.txt",1,734,29.84,1.50,3.00,1.50,0.82,2.04,0.54,0.95,3.00,2.32
"United States v. Sitzmann, 893 F.3d 811.txt",1,1614,23.23,1.30,1.67,1.98,1.18,1.36,1.36,1.18,2.73,1.36
"Rhea Lana, Inc. v. United States Dep't of Labor, 925 F.3d 521.txt",1,236,26.69,1.69,3.39,3.39,1.69,2.97,0.85,0.85,2.97,2.97
"Singletary v. Howard Univ., 939 F.3d 287.txt",1,3189,29.51,1.29,2.04,1.69,0.97,1.54,1.38,2.04,2.45,2.20
"In re Fed. Bureau of Prisons' Execution Protocol Cases, 955 F.3d 106.txt",1,8461,27.28,1.09,2.03,1.93,0.95,1.99,1.37,0.97,2.77,2.25
"People for the Ethical Treatment of Animals v. USDA, 912 F.3d 641.txt",1,408,28.68,2.94,3.19,0.98,1.72,2.94,1.96,2.21,1.72,3.68
"United Steel, Paper & Forestry, Rubber, Mfg., Energy, Allied Indus. & Serv. Workers Int_l Union v. M.txt",1,2283,28.52,1.53,5.56,2.67,1.58,1.58,1.80,3.15,2.63,2.45
"Davis v. Dist. of Columbia, 925 F.3d 1240.txt",1,3877,26.98,1.52,2.06,2.73,1.03,1.39,0.77,0.83,1.81,1.91
"Woodhull Freedom Found. v. United States, 948 F.3d 363.txt",1,728,32.42,1.37,2.47,2.34,0.55,3.57,1.79,1.10,3.57,4.12
"Simon v. Republic of Hungary, 911 F.3d 1172.txt",1,2833,28.66,1.20,3.49,1.73,0.78,1.76,1.98,0.46,2.47,1.84
"United States v. Butler, 955 F.3d 1052.txt",1,7180,24.09,1.06,2.80,1.95,1.16,2.21,1.28,0.78,3.70,1.64
