Filename,Segment,WC,Sixltr,negate,insight,cause,discrep,tentat,certain,inhib,incl,excl
"Nikolao v. Lyon, 875 F.3d 310.txt",1,326,21.17,2.15,1.53,2.76,0.92,2.45,0.31,0.31,2.45,1.53
"United States v. Higgins, 557 F.3d 381.txt",1,325,26.77,0.62,4.00,2.77,0.92,1.54,0.92,2.15,2.77,1.54
"Acosta v. Cathedral Buffet, Inc., 887 F.3d 761.txt",1,989,27.10,1.72,1.21,2.63,1.31,2.22,0.91,0.61,2.12,2.93
"Rogers v. Henry Ford Health Sys., 897 F.3d 763.txt",1,198,21.21,1.01,3.03,3.54,1.01,2.53,0.51,1.01,2.53,2.02
"Walker v. United States, 931 F.3d 467.txt",1,1401,24.13,1.00,2.21,4.43,0.79,1.86,1.36,2.14,1.93,2.07
"Kennedy v. Comm'r of Soc. Sec., 535 Fed. Appx. 515.txt",1,301,32.23,1.33,3.99,1.00,1.66,1.00,1.33,0.66,2.99,1.66
"Twumasi-Ankrah v. Checkr, Inc., 954 F.3d 938.txt",1,187,25.13,1.60,2.14,3.74,2.14,3.74,2.14,0.53,2.67,2.14
"Shafer Redi-Mix, Inc. v. Chauffeurs, Teamsters & Helpers Local Union #7, 643 F.3d 473.txt",1,143,23.08,0.70,3.50,3.50,2.80,1.40,0.70,0.00,4.20,1.40
"United States v. 1308 Selby Lane, 675 Fed. Appx. 546.txt",1,161,21.74,2.48,0.00,1.86,4.35,1.24,1.24,0.62,3.11,4.97
"Hines v. Mays, 2020 U.S. App. LEXIS 15553.txt",1,1554,17.37,1.16,1.61,0.84,1.29,1.80,1.22,0.39,3.93,1.42
"Marsico v. Sears Holding Corp., 370 Fed. Appx. 658.txt",1,207,28.50,0.97,4.35,2.90,1.93,1.93,0.48,1.45,1.93,2.90
"Cooper v. Toledo Area Sanitary Dist., 797 Fed. Appx. 920.txt",1,270,27.41,0.37,6.67,3.70,1.85,2.22,2.59,1.11,3.70,1.85
"United States v. Gamble, 709 F.3d 541.txt",1,1102,24.68,0.91,2.81,4.26,2.45,2.45,2.27,1.27,2.99,1.91
"Smith v. County of Lenawee, 505 Fed. Appx. 526.txt",1,148,22.97,0.68,2.70,1.35,2.03,2.03,1.35,1.35,4.73,1.35
"Blackston v. Rapelje, 769 F.3d 411.txt",1,894,26.17,1.34,4.25,1.68,1.45,1.57,1.23,1.12,2.68,2.13
"Zurich Am. Ins. Grp. v. Duncan, 889 F.3d 293.txt",1,1053,23.36,1.23,2.94,2.75,1.42,2.94,1.99,0.28,1.99,3.13
