Filename,Segment,WC,Sixltr,negate,insight,cause,discrep,tentat,certain,inhib,incl,excl
"Norona v. State, 137 So. 3d 1096.txt",1,2541,23.06,1.38,3.62,2.13,0.87,1.73,1.50,2.01,2.44,2.13
"Jackson v. Desantis, 268 So. 3d 662.txt",1,1999,33.42,1.35,2.10,1.30,0.70,2.95,1.80,2.30,2.50,2.60
"Michaels v. Loftus, 139 So. 3d 324.txt",1,3978,28.43,1.76,1.94,1.94,0.93,2.11,1.63,0.90,3.49,2.61
"Aquasol Condo. Ass'n v. HSBC Bank USA, 2018 Fla. App. LEXIS 17361.txt",1,66,30.30,1.52,4.55,7.58,1.52,0.00,3.03,0.00,1.52,1.52
"Jones v. Governor of Fla., 2020 U.S. App. LEXIS 28851.txt",1,240,25.42,0.83,5.42,0.83,0.83,0.83,2.08,1.25,4.17,1.67
"City of Miami v. Airbnb, Inc., 260 So. 3d 478.txt",1,2809,27.55,0.93,1.92,3.38,0.78,2.03,1.28,1.46,3.35,2.03
"Robles-Martinez v. Diaz, Reus & Targ, LLP, 88 So. 3d 177.txt",1,2066,23.09,2.57,1.98,1.36,0.58,1.21,1.45,1.02,2.13,2.66
"Marshall, Amaya & Anton v. Arnold-Dobal, 76 So. 3d 998.txt",1,1652,28.87,1.45,2.48,1.82,0.79,1.57,1.15,0.79,4.30,2.72
"United States v. Hatum, 969 F.3d 1156.txt",1,1926,27.41,1.25,2.44,1.77,1.40,2.02,1.51,0.88,2.02,2.02
"Solomon v. Solomon, 251 So. 3d 244.txt",1,501,25.95,1.20,2.00,1.80,1.60,1.80,3.99,1.80,4.59,2.40
"S. Fla. Coastal Elec., Inc. v. Treasures on the Bay II Condo Ass'n, 89 So. 3d 264.txt",1,2461,29.13,1.79,1.30,1.87,0.93,1.67,2.44,1.06,2.28,2.28
"Santiago v. State, 147 So. 3d 1057.txt",1,827,28.42,1.57,0.97,1.69,0.73,1.21,2.30,0.36,2.18,2.06
"Detournay v. City of Coral Gables, 127 So. 3d 869.txt",1,3489,25.74,1.32,1.69,1.66,1.63,1.18,1.20,1.15,2.89,2.38
"Fisher v. Perez, 947 So. 2d 648.txt",1,1405,27.26,1.42,2.28,2.06,1.07,1.35,0.78,2.70,3.35,1.85
"D.S. v. State, 2012 Fla. App. LEXIS 5461.txt",1,782,21.48,1.02,2.17,3.71,0.90,1.79,1.53,0.38,3.45,0.77
