Filename,Segment,WC,Sixltr,negate,insight,cause,discrep,tentat,certain,inhib,incl,excl
"People v. Rea, 500 Mich. 422.txt",1,1231,31.03,1.95,3.09,2.27,1.95,6.99,1.30,1.14,2.44,5.12
"United States v. Hunnicutt, 807 Fed. Appx. 551.txt",1,79,22.78,3.80,3.80,1.27,1.27,5.06,0.00,1.27,1.27,3.80
"Card v. Principal Life Ins. Co., 790 Fed. Appx. 730.txt",1,919,30.03,1.85,4.35,3.70,1.41,2.50,1.09,1.96,1.85,2.07
"Cook v. Garner, 2020 U.S. App. LEXIS 19024.txt",1,106,20.75,1.89,0.94,2.83,2.83,2.83,0.94,0.00,2.83,1.89
"IUE-CWA v. GE, 745 Fed. Appx. 583.txt",1,101,27.72,0.00,2.97,0.99,0.00,0.99,0.00,0.00,2.97,0.99
"Lindenberg v. Jackson Nat'l Life Ins. Co., 912 F.3d 348.txt",1,8163,26.51,1.59,3.09,1.62,1.36,2.23,1.94,1.10,1.81,2.62
"Bunche v. United States, 2018 U.S. App. LEXIS 16748.txt",1,2244,26.96,1.83,2.36,2.32,1.69,2.05,2.01,1.47,2.36,2.67
"In re Fifth Third Early Access Cash Advance Litig., 925 F.3d 265.txt",1,363,24.52,1.10,4.13,1.38,0.28,0.83,3.03,0.83,3.03,1.10
"Skripkov v. Barr, 966 F.3d 480.txt",1,711,28.97,0.70,4.64,3.23,2.11,2.67,1.27,1.83,2.53,2.67
"In re Trotter, 2018 U.S. App. LEXIS 5012.txt",1,219,21.00,2.74,1.37,0.91,3.65,1.37,0.46,1.83,1.83,3.65
"United States v. Johnson, 2020 U.S. App. LEXIS 16007.txt",1,74,33.78,1.35,2.70,1.35,1.35,1.35,4.05,0.00,4.05,1.35
"United States v. Sheffey, 2020 U.S. App. LEXIS 20423.txt",1,288,22.57,2.08,1.39,2.43,1.39,0.69,1.04,1.39,2.08,2.43
"TES Filer City Station Ltd. P'ship v. Consumers Energy Co. (In re Consumers Energy Co.), 499 Mich. 8.txt",1,230,25.65,0.87,2.61,3.48,0.43,2.61,0.43,1.30,4.35,2.61
"Henderson v. City of Flint, 751 Fed. Appx. 618.txt",1,2613,25.22,1.80,3.14,2.79,2.22,1.88,1.19,0.92,2.68,2.72
"Premium Freight Mgmt., LLC v. PM Engineered Sols., Inc., 906 F.3d 403.txt",1,1710,28.42,1.81,5.61,3.39,1.05,1.93,1.70,0.58,2.75,3.22
"Graves v. Malone, 810 Fed. Appx. 414.txt",1,6441,21.52,2.00,4.52,3.07,1.51,2.03,1.93,0.82,2.58,2.62
"Helm v. Ratterman, 778 Fed. Appx. 359.txt",1,294,26.53,1.70,6.46,3.06,2.04,4.76,3.40,2.38,1.02,2.38
"People v. Parsley, 500 Mich. 1033.txt",1,345,18.55,1.74,1.16,2.32,1.45,0.87,1.16,0.58,1.45,1.74
"People v. Steanhouse, 500 Mich. 453.txt",1,1362,27.46,1.32,3.89,2.42,1.76,3.38,1.76,0.95,2.13,3.30
"Virgil v. City of Newport, 745 Fed. Appx. 618.txt",1,378,30.42,1.59,2.38,0.79,0.79,1.06,2.38,2.91,1.32,2.12
