Filename,Segment,WC,Sixltr,negate,insight,cause,discrep,tentat,certain,inhib,incl,excl
"In re Det. of Tripp, 915 N.W.2d 867.txt",1,1299,25.40,1.54,3.46,1.85,1.54,1.85,2.54,1.00,3.93,1.92
"State v. Null, 836 N.W.2d 41.txt",1,5335,24.18,1.65,2.72,1.44,1.56,1.76,0.88,0.79,3.49,2.70
"Hansen v. Cupp, 2009 Iowa App. LEXIS 308.txt",1,500,25.00,3.20,3.20,2.00,1.60,1.60,2.20,0.40,1.60,3.40
"State v. Love, 858 N.W.2d 721.txt",1,1279,22.83,0.86,2.66,2.19,2.03,2.42,1.41,0.94,4.46,2.89
"Schmidt v. State, 909 N.W.2d 778.txt",1,11554,23.13,1.52,2.63,1.76,1.23,1.69,1.73,0.96,2.65,2.03
"State v. Elliott, 2010 Iowa App. LEXIS 1183.txt",1,968,26.65,1.55,2.89,0.93,1.03,1.45,1.03,1.34,5.79,1.34
"Anderson v. Estate of Anderson (In re Estate of Anderson), 2010 Iowa App. LEXIS 159.txt",1,882,22.45,1.93,2.61,2.49,2.04,2.49,0.34,1.13,1.70,2.83
"State v. Lopez, 907 N.W.2d 112.txt",1,336,27.98,2.08,3.27,2.08,1.49,3.57,1.19,0.89,1.19,4.46
"Dorshkind v. Oak Park Place of Dubuque II, L.L.C., 835 N.W.2d 293.txt",1,4645,29.62,1.42,2.50,2.48,1.40,2.26,1.89,2.17,3.51,2.60
"Godfrey v. State, 898 N.W.2d 844.txt",1,10010,26.11,1.48,1.70,2.04,0.98,1.66,1.24,0.99,2.50,1.92
"Staff Mgmt. v. Jimenez, 839 N.W.2d 640.txt",1,719,28.65,1.81,2.36,2.09,2.09,1.53,0.70,1.81,1.39,2.92
"Dereus v. Iowa DOT, 2011 Iowa App. LEXIS 153.txt",1,222,26.58,2.70,1.80,4.95,4.95,3.60,0.90,1.80,2.70,4.50
"State v. Seats, 865 N.W.2d 545.txt",1,12424,26.19,1.87,2.49,1.40,0.90,1.56,1.50,1.01,3.47,2.70
