Filename,Segment,WC,Sixltr,negate,insight,cause,discrep,tentat,certain,inhib,incl,excl
"United States v. Caniff, 955 F.3d 1183.txt",1,116,19.83,3.45,5.17,3.45,1.72,3.45,3.45,0.00,2.59,1.72
"United States v. Ross, 941 F.3d 1058.txt",1,5608,24.25,1.32,2.84,2.41,1.34,1.64,0.93,2.07,4.24,1.52
"Target Media Partners v. Specialty Mktg. Corp., 881 F.3d 1279.txt",1,1761,25.95,0.80,2.67,2.04,0.62,1.82,1.36,1.42,2.39,1.48
"Chamblee v. Florida, 905 F.3d 1192.txt",1,904,24.78,0.88,2.65,0.88,0.55,1.77,2.10,1.11,3.98,2.10
"United States v. Caniff, 916 F.3d 929.txt",1,3714,22.13,1.29,4.33,2.58,1.27,3.85,1.53,0.40,2.69,3.37
"Canal A Media Holding, LLC v. United States Citizenship & Immigration Servs., 964 F.3d 1250.txt",1,652,24.85,1.84,2.30,0.92,0.15,1.84,1.53,1.53,2.15,2.45
"Kondrat'Yev v. City of Pensacola, 949 F.3d 1319.txt",1,7218,29.83,1.05,3.53,2.16,0.83,2.55,1.26,0.71,4.27,1.97
"Ovalles v. United States, 905 F.3d 1231.txt",1,11021,27.28,0.89,4.29,2.60,0.94,2.30,1.72,0.64,2.87,1.93
"Hillcrest Prop., LLP v. Pasco Cty., 915 F.3d 1292.txt",1,5041,27.71,1.51,2.24,2.20,0.95,2.02,2.20,0.99,3.27,2.22
"Patel v. United States AG, 917 F.3d 1319.txt",1,29,17.24,0.00,6.90,0.00,0.00,6.90,0.00,0.00,6.90,3.45
"United States v. Johnson, 921 F.3d 991.txt",1,1319,24.18,0.76,3.41,2.20,1.52,2.81,1.97,1.52,3.03,2.58
"Ga. Muslim Voter Project v. Kemp, 918 F.3d 1262.txt",1,311,16.08,2.25,1.29,0.96,1.29,1.29,1.29,1.93,4.18,2.25
"Kondrat'Yev v. City of Pensacola, 903 F.3d 1169.txt",1,16055,27.90,1.51,2.42,1.89,0.78,2.25,1.29,1.21,4.06,2.50
"Andres v. United States AG, 2020 U.S. App. LEXIS 28540.txt",1,664,23.49,1.36,1.66,1.66,1.36,2.41,0.30,1.05,2.71,1.96
