Filename,Segment,WC,Sixltr,negate,insight,cause,discrep,tentat,certain,inhib,incl,excl
"United States v. Kopp, 778 F.3d 986.txt",1,1816,26.32,0.72,0.94,1.16,0.33,0.94,0.83,1.05,2.70,1.43
"United States v. Roy, 855 F.3d 1133.txt",1,1015,26.60,2.27,2.27,1.58,0.89,1.77,1.28,1.38,2.46,2.07
"United States v. Stein, 881 F.3d 853.txt",1,810,27.04,0.99,1.11,0.74,0.62,0.62,1.36,0.86,2.10,0.86
"United States v. Feldman, 931 F.3d 1245.txt",1,8815,27.92,1.29,2.62,2.20,0.93,1.89,1.55,0.68,3.12,2.50
"Lewis v. Governor of Alabama, 944 F.3d 1287.txt",1,1031,31.62,2.33,1.65,1.75,0.19,2.62,3.30,1.45,2.13,2.33
"Corley v. Long-Lewis, Inc., 965 F.3d 1222.txt",1,6601,26.19,1.45,2.36,1.27,0.59,0.65,1.06,1.09,2.79,1.74
"Evans v. Ga. Reg'l Hosp., 850 F.3d 1248.txt",1,1970,26.50,1.68,1.78,2.59,1.37,1.73,1.68,1.17,2.59,2.84
"Vieux v. Warden, United States, 616 Fed. Appx. 891.txt",1,139,22.30,1.44,1.44,0.72,1.44,2.88,0.00,0.00,2.88,1.44
"Jones v. Governor of Fla., 2020 U.S. App. LEXIS 28851.txt",1,15064,25.17,1.55,2.72,2.32,1.00,2.62,2.06,1.48,2.42,2.91
"United States v. St. Hubert, 918 F.3d 1174.txt",1,4571,23.30,1.51,2.60,1.64,1.25,2.17,1.75,1.36,2.47,2.73
"Yarbrough v. Decatur Hous. Auth., 905 F.3d 1222.txt",1,2925,29.54,1.88,2.80,2.29,1.06,1.68,1.47,1.37,2.29,2.05
"Zack v. Sec'y, Fla. Dep't of Corr., 721 Fed. Appx. 918.txt",1,762,24.54,1.97,1.57,1.44,0.79,2.36,1.05,1.84,3.28,2.62
"Adams v. Sch. Bd., 968 F.3d 1286.txt",1,7151,28.95,1.68,3.13,2.53,1.09,1.85,1.47,1.66,2.39,2.63
"Jacobson v. Fla. Sec'y, 957 F.3d 1193.txt",1,8995,29.02,1.69,2.42,2.21,1.26,2.52,1.87,0.96,2.86,2.03
"Elam v. Warden, 588 Fed. Appx. 927.txt",1,118,14.41,0.00,2.54,0.85,0.85,0.85,1.69,2.54,2.54,2.54
"Lester v. United States, 921 F.3d 1306.txt",1,6514,25.87,1.81,3.48,2.07,1.41,1.69,1.92,1.09,2.06,2.59
"United States v. Hector, 611 Fed. Appx. 632.txt",1,1152,27.60,2.17,3.12,1.82,0.95,2.34,1.56,0.69,4.08,3.39
"United States v. Brown, 947 F.3d 655.txt",1,17492,22.58,2.44,4.24,1.66,1.01,2.47,2.21,0.69,3.10,2.27
"Cortes-Morales v. Hastings, 827 F.3d 1009.txt",1,178,24.16,1.69,3.37,2.25,1.69,2.25,0.56,0.00,1.12,2.25
"United States v. Davis, 785 F.3d 498.txt",1,1433,26.80,2.09,5.23,2.44,1.81,2.65,1.12,0.91,1.67,2.79
"Humana Med. Plan, Inc. v. Western Heritage Ins. Co., 832 F.3d 1229.txt",1,1452,29.41,1.72,1.17,2.89,1.10,2.69,0.76,0.96,3.31,3.44
"Farah v. United States AG, 2019 U.S. App. LEXIS 35971.txt",1,848,25.59,1.77,2.71,3.18,0.83,0.83,1.18,3.07,2.48,1.89
"Gorss Motels, Inc. v. Safemark Sys., LP, 931 F.3d 1094.txt",1,5556,29.63,1.31,2.63,1.71,1.03,1.82,1.13,2.41,3.60,2.61
"Patterson v. Sec'y, Fla. Dep't of Corr., 812 F.3d 885.txt",1,5870,27.61,1.38,1.29,1.55,0.66,1.84,1.48,1.45,2.93,2.52
"United States v. Carthen, 906 F.3d 1315.txt",1,1957,26.26,1.48,2.81,2.30,0.92,1.69,2.30,2.25,1.48,2.86
"Berry v. Leslie, 767 F.3d 1144.txt",1,2046,29.96,1.91,2.69,1.96,0.88,1.96,2.54,0.78,4.59,2.64
