Filename,Segment,WC,Sixltr,negate,insight,cause,discrep,tentat,certain,inhib,incl,excl
"Mo. Hosp. Ass'n v. Azar, 941 F.3d 896.txt",1,680,28.53,1.18,3.97,1.91,1.62,2.35,1.47,0.29,3.68,2.35
"In re Petition for Distrib. of Attorney's Fees, 870 N.W.2d 755.txt",1,1501,28.38,2.53,3.26,2.47,1.53,3.53,1.67,1.27,2.66,3.60
"Dykhoff v. Xcel Energy, 840 N.W.2d 821.txt",1,844,27.37,0.95,1.18,1.78,1.07,0.83,2.13,1.78,4.86,2.13
"United States v. Freeman, 964 F.3d 774.txt",1,83,9.64,1.20,0.00,0.00,2.41,0.00,1.20,1.20,2.41,1.20
"In re Individual 35W Bridge Litig., 806 N.W.2d 811.txt",1,6841,27.89,1.15,2.00,2.57,0.61,1.48,1.14,1.78,3.06,2.05
"Emerson v. Sch. Bd. of Indep. Sch. Dist. 199, 809 N.W.2d 679.txt",1,2727,32.31,1.14,2.60,1.65,0.73,2.79,1.61,2.97,2.90,1.91
"Saxton v. Fed. Hous. Fin. Agency, 901 F.3d 954.txt",1,2070,24.83,1.26,1.64,1.84,1.01,3.24,1.35,2.46,3.38,2.66
"Mo. Broadcasters Ass'n v. Schmitt, 946 F.3d 453.txt",1,439,22.55,1.59,2.05,2.51,1.37,1.82,2.05,1.82,0.91,3.42
"Inquiry into the Conduct of Pendleton, 870 N.W.2d 367.txt",1,1829,27.06,0.93,2.73,1.69,0.87,1.15,0.60,0.44,3.72,1.80
"State v. Osorio, 891 N.W.2d 620.txt",1,4941,24.97,1.44,2.87,1.70,0.67,1.56,0.99,1.82,2.89,2.00
"Rickert v. State, 795 N.W.2d 236.txt",1,3646,28.52,1.97,2.00,1.23,0.99,2.08,1.54,1.43,2.06,3.40
"Moore v. Thurston, 928 F.3d 753.txt",1,158,13.29,0.63,2.53,2.53,2.53,0.63,1.90,0.00,2.53,1.90
"United States v. Smith, 744 Fed. Appx. 966.txt",1,344,25.00,3.49,4.65,2.03,0.58,3.20,0.58,0.87,0.87,4.94
"United States v. Fool Bear, 903 F.3d 704.txt",1,1084,20.76,0.83,2.31,3.04,0.46,1.01,1.48,0.28,2.77,2.03
"Bearder v. State, 806 N.W.2d 766.txt",1,211,32.70,1.42,6.64,2.84,1.42,0.95,1.90,0.95,1.90,2.37
"David v. Bartel Enters. (Nitro Green), 856 N.W.2d 271.txt",1,1701,26.75,1.29,2.94,2.65,1.41,2.23,1.00,0.82,1.53,1.70
"Tambornino v. Health Risk Mgmt., 787 N.W.2d 540.txt",1,29,34.48,0.00,3.45,3.45,6.90,0.00,0.00,0.00,0.00,0.00
