Filename,Segment,WC,Sixltr,negate,insight,cause,discrep,tentat,certain,inhib,incl,excl
"Cole v. Hubanks, 2004 WI 74.txt",1,852,26.53,1.17,1.76,3.64,2.70,1.29,0.47,2.00,3.17,2.00
"Planned Parenthood of Wis., Inc. v. Kaul, 942 F.3d 793.txt",1,3692,27.19,1.44,2.76,1.65,1.52,3.03,1.46,1.54,2.57,3.39
"State v. Carlson, 2003 WI 40.txt",1,3311,28.99,1.33,4.41,2.87,1.27,2.66,1.36,1.33,2.42,2.96
"U.S. Bank Nat'l Ass'n v. United Air Lines, Inc., (In re United Air Lines), 438 F.3d 720.txt",1,2114,27.77,1.70,1.70,1.94,1.04,0.99,1.32,1.32,2.70,2.18
"United States v. Skoien, 614 F.3d 638.txt",1,3574,28.48,1.57,3.39,1.51,0.90,2.24,1.32,1.90,2.46,2.88
"Laskowski v. Spellings, 443 F.3d 930.txt",1,4323,28.24,1.64,1.11,1.83,0.93,1.67,1.25,0.95,2.27,2.08
"Kingstad v. State Bar of Wis., 622 F.3d 708.txt",1,2106,28.82,1.19,3.85,2.99,0.76,2.90,1.33,1.19,2.28,2.66
"Loubser v. Thacker, 440 F.3d 439.txt",1,1648,31.92,1.58,1.82,1.33,1.09,1.76,0.85,0.91,3.52,2.25
"IBEW, Local 21 v. Ill. Bell Tel. Co., 491 F.3d 685.txt",1,2007,29.60,2.14,3.09,1.84,1.05,2.49,0.75,2.09,2.39,3.49
"United States v. Haslage, 853 F.3d 331.txt",1,1348,29.60,1.93,1.41,0.96,0.52,3.12,2.15,1.48,2.89,3.19
"Brown v. Brown, 847 F.3d 502.txt",1,2905,28.43,1.38,1.76,2.10,1.41,1.62,1.82,1.17,1.48,2.48
"Bd. of Regents v. State Pers. Comm'n, 2002 WI 79.txt",1,1095,30.32,1.19,2.83,1.83,2.28,2.47,0.91,1.74,2.01,2.37
"State v. St. George, 2002 WI 50.txt",1,1225,32.24,0.98,2.53,2.12,0.73,1.63,1.88,2.45,3.18,2.37
