Filename,Segment,WC,Sixltr,negate,insight,cause,discrep,tentat,certain,inhib,incl,excl
"McClellan v. Midwest Machining, Inc., 900 F.3d 297.txt",1,2568,24.53,1.13,2.38,1.25,1.64,2.34,2.84,1.09,2.84,2.26
"Rudolph v. Babinec, 939 F.3d 742.txt",1,1561,26.27,2.18,4.04,2.18,2.31,2.82,2.37,0.70,2.24,3.65
"Springer v. Cleveland Clinic Emple. Health Plan Total Care, 900 F.3d 284.txt",1,1558,23.81,1.28,1.16,1.54,0.71,1.54,2.12,0.77,1.93,2.37
"Hanlon v. Purdue Pharma, L.P. (In re Nat'l Prescription Opiate Litig.), 2019 U.S. App. LEXIS 34350.txt",1,913,22.45,2.96,2.63,2.63,1.20,2.30,1.20,1.42,2.30,2.52
"United States v. Carr, 355 Fed. Appx. 943.txt",1,1026,24.07,1.56,3.22,2.53,2.14,2.63,1.66,2.44,2.73,2.73
"Local 1982, Int'l Longshoremen's Ass'n v. Midwest Terminals of Toledo, Int'l, Inc., 944 F.3d 607.txt",1,1250,18.88,1.52,2.72,0.80,0.88,2.32,0.88,0.40,2.08,2.16
"Kollaritsch v. Mich. State Univ. Bd. of Trs., 944 F.3d 613.txt",1,1516,25.66,1.98,2.44,3.10,2.04,4.09,1.52,1.58,1.91,4.35
"Lawrence v. 48th Dist. Court, 560 F.3d 475.txt",1,318,27.99,1.26,4.40,1.57,2.83,4.40,0.63,0.94,1.26,2.52
"Ramirez v. Barr, 2020 U.S. App. LEXIS 19455.txt",1,608,26.81,1.64,3.62,3.12,1.81,1.48,1.32,1.48,2.47,2.14
"Wallace v. Oakwood Healthcare, Inc., 954 F.3d 879.txt",1,751,20.37,1.33,1.60,2.53,1.46,2.93,0.67,2.13,1.86,3.06
"Guest-Marcotte v. Life Ins. Co. of N. Am., 768 Fed. Appx. 357.txt",1,2222,23.40,1.94,3.56,2.70,1.31,2.34,2.25,0.86,3.20,3.24
"Small v. Memphis Light, Gas & Water, 952 F.3d 821.txt",1,1934,25.49,1.24,3.05,1.45,1.24,2.64,2.07,0.98,1.50,2.07
"Juan-Pedro v. Sessions, 740 Fed. Appx. 467.txt",1,1284,22.98,1.56,4.83,2.49,1.32,1.48,2.02,1.09,3.89,2.41
"Tree of Life Christian Sch. v. City of Upper Arlington, 905 F.3d 357.txt",1,6046,27.19,1.54,1.67,2.53,1.31,2.05,1.47,1.41,3.04,3.24
"In re Hall, 2020 U.S. App. LEXIS 20392.txt",1,266,13.53,0.75,1.50,1.50,0.75,3.38,0.75,0.38,1.50,3.01
"Rodriguez-Penton v. United States, 905 F.3d 481.txt",1,2754,22.55,2.25,2.14,1.92,2.29,2.51,1.42,0.47,2.80,2.90
"Davenport v. MacLaren, 2020 U.S. App. LEXIS 29249.txt",1,5046,23.88,1.35,3.13,2.36,1.29,1.68,1.57,1.43,2.58,2.04
"Bickham v. Winn, 888 F.3d 248.txt",1,374,23.80,2.14,3.21,1.07,1.07,1.60,2.41,0.27,2.41,3.21
"Wilson v. Safelite Grp., Inc., 930 F.3d 429.txt",1,3902,25.50,1.28,3.46,3.10,0.90,1.90,1.20,0.51,3.77,2.33
"Taylor v. Pilot Corp., 955 F.3d 572.txt",1,506,18.18,1.58,1.58,2.57,0.79,1.58,0.40,0.79,0.79,1.98
"Adams & Boyle, P.C. v. Slatery, 2020 U.S. App. LEXIS 12735.txt",1,187,20.86,1.07,1.60,1.07,1.60,2.14,0.00,0.53,1.60,1.07
"Wright v. Spaulding, 939 F.3d 695.txt",1,5110,21.94,1.86,2.74,1.74,1.25,2.05,1.45,1.23,2.49,3.09
