Filename,Segment,WC,Sixltr,negate,insight,cause,discrep,tentat,certain,inhib,incl,excl
"Scoresby v. Santillan, 346 S.W.3d 546.txt",1,713,28.89,3.65,1.82,1.26,1.96,4.35,2.95,1.26,2.24,3.79
"Williams v. Taylor Seidenbach, Inc., 958 F.3d 341.txt",1,673,22.73,2.82,2.23,1.63,1.63,2.82,1.63,0.89,3.12,2.67
"City of Dallas v. Martin, 361 S.W.3d 560.txt",1,73,27.40,0.00,5.48,2.74,2.74,1.37,0.00,0.00,1.37,1.37
"Mid-Continent Ins. Co. v. Liberty Mut. Ins. Co., 236 S.W.3d 765.txt",1,888,30.29,1.58,3.72,2.36,2.36,3.49,1.80,3.15,4.62,3.15
"E. Tex. Salt Water Disposal Co. v. Werline, 307 S.W.3d 267.txt",1,879,26.51,2.16,1.37,2.39,1.48,3.19,1.25,2.05,3.07,3.53
"City of Houston v. Carlson, 451 S.W.3d 828.txt",1,170,28.24,0.59,1.76,0.59,0.59,2.35,0.59,1.18,1.76,1.76
"Reid Rd. Mun. Util. Dist. No. 2 v. Speedy Stop Food Stores, Ltd., 337 S.W.3d 846.txt",1,478,31.80,2.09,2.09,1.05,2.09,3.97,1.26,3.97,2.93,5.02
"City of Dallas v. Albert, 354 S.W.3d 368.txt",1,553,28.75,2.71,4.70,2.17,2.35,4.52,3.44,0.90,3.44,5.24
"Sommers v. Sandcastle Homes, Inc., 521 S.W.3d 749.txt",1,3975,29.38,1.21,6.36,1.99,1.23,2.21,1.33,0.88,2.82,2.74
"Hoskins v. Hoskins, 497 S.W.3d 490.txt",1,394,31.98,2.28,2.54,1.78,0.25,3.05,1.78,3.81,4.57,2.79
"In the Interest of J.O.A., 283 S.W.3d 336.txt",1,401,30.92,0.75,2.00,2.24,1.50,4.24,1.25,2.99,3.24,2.49
"UDR Tex. Props., L.P. v. Petrie, 517 S.W.3d 98.txt",1,1690,27.69,1.01,5.50,3.49,1.83,4.67,1.95,2.31,3.37,3.20
"Patel v. Tex. Dep't of Licensing & Regulation, 469 S.W.3d 69.txt",1,11111,32.54,1.79,2.60,2.51,1.40,2.12,2.04,2.18,3.37,2.83
