Filename,Segment,WC,Sixltr,negate,insight,cause,discrep,tentat,certain,inhib,incl,excl
"People v. Sprague, 474 Mich. 1137.txt",1,271,31.73,1.48,4.43,4.06,0.37,0.74,0.00,0.37,2.95,0.74
"In re Servaas, 484 Mich. 634.txt",1,1334,31.48,1.42,3.82,2.17,1.42,1.20,1.80,1.12,3.37,1.87
"Martin v. Sec'y of State, 482 Mich. 956.txt",1,511,27.40,1.76,2.74,2.15,0.98,1.96,2.74,1.57,1.96,2.15
"Dorman v. Twp. of Clinton, 477 Mich. 955.txt",1,1226,27.41,0.82,1.31,3.75,0.82,1.79,0.82,0.98,2.12,1.22
"People v. Hernandez-Orta, 480 Mich. 1101.txt",1,290,30.00,0.69,3.10,2.76,0.69,0.00,0.00,3.45,1.03,0.69
"Arnold v. Farm Bureau Gen. Ins. Co., 483 Mich. 1126.txt",1,856,29.09,1.87,2.22,1.64,1.40,2.22,1.99,2.10,3.74,2.69
"Daymon v. Fuhrman, 474 Mich. 920.txt",1,74,27.03,1.35,5.41,1.35,1.35,1.35,4.05,1.35,1.35,0.00
"In re McCarthy, 497 Mich. 1035.txt",1,411,20.44,1.95,2.43,2.19,0.49,1.95,0.97,1.70,3.41,1.22
"People v. Jamison, 490 Mich. 934.txt",1,320,31.25,0.62,1.88,2.50,1.56,1.25,1.25,0.62,2.19,0.94
"Knue v. Smith, 478 Mich. 88.txt",1,47,17.02,4.26,0.00,6.38,2.13,0.00,2.13,2.13,2.13,4.26
"People v. Shafier, 483 Mich. 205.txt",1,67,29.85,1.49,4.48,2.99,0.00,2.99,0.00,1.49,2.99,2.99
"People v. Lathrop, 480 Mich. 1036.txt",1,913,32.97,1.31,3.61,3.50,1.86,2.63,0.88,1.75,2.96,2.08
"Prins v. Mich. State Police, 490 Mich. 988.txt",1,1755,23.19,0.97,4.44,3.59,1.14,1.42,0.63,3.25,1.37,1.88
"People v. Caban, 473 Mich. 886.txt",1,319,31.66,0.94,4.39,5.02,0.31,0.94,1.57,0.63,1.57,1.25
"Dep't of Human Servs. v. Morgan (In re Hudson), 483 Mich. 928.txt",1,885,34.46,1.24,2.26,1.92,1.24,1.92,1.69,1.92,2.15,1.92
"United States Fid. Ins. & Guar. Co. v. Mich. Catastrophic Claims Ass'n, 484 Mich. 1(2).txt",1,3186,31.10,1.38,3.33,3.45,1.19,1.95,1.57,1.57,2.95,1.95
"NACG Leasing v. Dep't of Treasury, 495 Mich. 959.txt",1,468,22.44,2.14,2.14,1.28,1.07,2.35,4.27,0.85,1.50,1.92
"Bezeau v. Palace Sports & Entm't, Inc., 487 Mich. 455.txt",1,703,33.14,1.14,2.99,2.70,0.43,1.28,1.85,1.99,2.56,1.28
"Griesbach v. Ross, 485 Mich. 1095.txt",1,1538,28.93,1.95,4.10,2.08,1.11,1.24,0.98,1.56,3.71,2.15
"People v. Smith, 480 Mich. 1014.txt",1,139,30.94,1.44,3.60,2.16,1.44,2.16,4.32,0.00,4.32,2.88
"Priority Health v. Comm'r of the Office of Fin. & Ins. Servs., 489 Mich. 67.txt",1,715,36.36,1.68,4.06,3.50,0.98,2.24,1.12,2.24,2.80,3.50
"In re Noecker, 472 Mich. 1.txt",1,1181,30.99,1.19,3.22,2.12,1.02,2.03,0.93,1.52,3.90,2.12
"Mich. Basic Prop. Ins. Ass'n v. Office of Fin. & Ins. Regulation, 778 N.W.2d 699.txt",1,88,23.86,2.27,3.41,0.00,2.27,0.00,1.14,4.55,2.27,1.14
"People v. Harris, 488 Mich. 955.txt",1,357,23.53,2.52,1.68,1.68,1.68,1.12,1.12,1.40,1.68,2.24
"Anglers of the AuSable, Inc. v. Dep't of Envtl. Quality, 485 Mich. 1067.txt",1,182,26.37,0.55,6.59,2.20,0.55,1.10,2.20,0.55,3.30,1.65
"People v. Botello, 485 Mich. 922.txt",1,632,24.53,0.63,1.42,1.27,0.32,0.95,0.47,0.79,3.01,0.63
"Potter v. McLeary, 484 Mich. 397.txt",1,10231,28.76,1.80,4.02,3.25,1.32,1.98,1.57,2.34,2.62,3.38
"Lamphiere v. Abraham, 829 N.W.2d 879.txt",1,310,34.19,0.97,3.23,2.58,0.00,1.94,4.19,2.26,3.87,1.61
"People v. Shepard, 465 Mich. 921.txt",1,62,17.74,1.61,1.61,1.61,0.00,0.00,0.00,1.61,0.00,1.61
"Deacon v. Pandora Media, Inc. (In re Certified Question from the United States Court of Appeals), 49.txt",1,356,30.90,0.84,7.58,1.12,0.84,4.49,0.84,0.00,2.53,2.53
"GMC v. Alumi-Bunk, Inc., 482 Mich. 1080.txt",1,308,31.49,0.97,3.57,3.90,0.32,0.00,2.60,0.65,2.60,0.32
"Carr v. Concealed Weapons Licensing Bd., 471 Mich. 918.txt",1,86,30.23,2.33,2.33,2.33,0.00,1.16,2.33,1.16,3.49,0.00
"People v. Gatski, 472 Mich. 887.txt",1,116,25.00,0.00,5.17,2.59,0.00,0.86,0.00,0.86,2.59,0.00
"People v. Hill, 486 Mich. 658.txt",1,2089,33.03,1.29,1.63,5.03,0.48,5.27,1.58,0.91,2.44,4.45
"People v. Waterstone, 486 Mich. 942.txt",1,3332,32.98,1.56,3.45,1.77,1.26,1.86,1.47,1.41,3.18,1.80
"People v. Elliott, 494 Mich. 292.txt",1,268,32.09,0.75,3.36,2.61,2.24,2.61,1.12,0.37,4.85,1.87
"Lenawee County Bd. of Rd. Comm'rs v. State Auto Prop. & Cas. Ins. Co., 485 Mich. 853.txt",1,586,29.69,1.19,4.44,1.02,1.54,1.19,1.71,1.19,1.71,2.56
"People v. Circuit Judge (In re Farquharson), 483 Mich. 901.txt",1,745,28.32,1.74,0.94,2.01,2.01,1.21,1.21,1.88,2.42,3.76
"Studley v. Hill Twp., 488 Mich. 988.txt",1,147,24.49,2.72,1.36,2.72,0.68,2.04,0.00,0.68,0.68,2.04
"Anglers of the AuSable, Inc. v. Dep't of Envtl. Quality, 488 Mich. 69.txt",1,10199,30.48,1.41,3.16,4.40,1.19,2.94,1.84,0.98,3.05,2.45
"Smith v. Family Independence Agency (In re L.H.), 469 Mich. 1023.txt",1,105,23.81,2.86,2.86,3.81,2.86,0.95,0.00,0.95,0.95,1.90
"People v. Thompson, 488 Mich. 888.txt",1,412,28.64,0.97,2.43,2.18,0.73,2.43,1.21,0.49,1.21,2.43
"Wiedyk v. Poisson, 488 Mich. 972.txt",1,465,34.84,1.72,3.66,4.52,0.86,2.15,1.51,1.29,3.23,0.86
"Carrier Creek Drainage Dist. v. Land One, L.L.C., 477 Mich. 954.txt",1,114,28.07,0.88,3.51,0.88,0.88,4.39,0.88,2.63,1.75,0.88
"People v. Goodman, 497 Mich. 883.txt",1,177,29.94,0.00,1.69,1.69,1.13,1.69,1.69,1.13,2.82,1.13
"People v. Dowdy, 484 Mich. 855.txt",1,868,31.57,1.50,2.53,2.42,1.15,3.80,2.53,1.96,3.34,4.38
"Sazima v. Shepherd Bar & Rest., 482 Mich. 1110.txt",1,169,28.99,1.78,2.96,2.37,0.59,1.18,0.59,1.18,2.37,0.59
"People v. Hart, 488 Mich. 952.txt",1,41,14.63,0.00,2.44,4.88,2.44,2.44,0.00,2.44,0.00,0.00
"McBRIDE v. PINKERTON'S, INC., 1999 Mich. App. LEXIS 1198.txt",1,1161,26.70,0.26,3.45,2.93,0.69,1.46,1.29,3.45,2.24,0.52
"Patreka v. Cordle, 488 Mich. 908.txt",1,56,25.00,1.79,3.57,1.79,0.00,3.57,0.00,1.79,0.00,0.00
"Mack v. City of Detroit, 467 Mich. 1211.txt",1,1376,25.58,2.03,1.60,2.54,1.67,1.38,2.40,1.74,1.89,2.03
"Lansing Sch. Educ. Ass'n v. Lansing Bd. of Educ., 485 Mich. 966.txt",1,384,32.03,0.52,3.91,0.26,1.04,1.56,1.56,0.26,2.86,1.30
"James v. W. A. Foote Mem'l Hosp., 479 Mich. 859.txt",1,252,31.75,1.98,4.76,3.57,0.40,1.19,0.79,3.97,3.57,2.78
"People v. Grissom, 493 Mich. 880.txt",1,65,18.46,1.54,3.08,3.08,0.00,1.54,0.00,0.00,0.00,3.08
"People v. Johnson, 480 Mich. 1119.txt",1,217,28.57,0.00,2.30,2.30,0.00,0.46,1.84,0.46,4.15,0.46
"People v. Dray, 469 Mich. 979.txt",1,127,26.77,1.57,1.57,2.36,0.79,1.57,0.00,1.57,3.15,0.79
"King v. Mich. Dep't of Labor & Econ. Growth, 489 Mich. 872.txt",1,869,35.44,1.15,2.42,3.11,1.04,1.61,1.73,2.07,2.19,1.50
"People v. Axley, 477 Mich. 878.txt",1,128,21.88,1.56,0.78,0.00,0.00,0.78,0.00,1.56,2.34,2.34
"James v. Richards, 735 N.W.2d 212.txt",1,252,31.75,1.98,4.76,3.57,0.40,1.19,0.79,3.97,3.57,2.78
"Howell Educ. Ass'n MEA_NEA v. Howell Bd. of Educ., 489 Mich. 976.txt",1,77,27.27,0.00,9.09,1.30,5.19,0.00,0.00,0.00,7.79,0.00
"Benefiel v. Auto-Owners Ins. Co., 482 Mich. 1087.txt",1,211,35.07,0.95,3.32,4.74,0.95,0.95,0.95,0.47,1.90,1.42
"Henry v. Dow Chem. Co., 484 Mich. 483.txt",1,4226,28.35,0.92,2.74,1.87,1.59,2.82,2.60,1.59,3.08,1.99
"Univ. of Mich. Regents v. Titan Ins. Co., 484 Mich. 852.txt",1,669,26.46,2.39,3.29,3.44,1.35,2.09,1.20,1.35,2.54,3.29
"Lamp v. Reynolds, 467 Mich. 937.txt",1,482,29.25,0.83,3.53,1.66,1.87,0.21,2.90,1.24,3.11,1.24
"People v. Davis, 471 Mich. 891.txt",1,135,22.96,1.48,2.22,3.70,0.00,0.74,0.74,0.00,2.96,1.48
"Wilmers v. Gateway Transp. Co., 227 Mich. App. 339.txt",1,2169,32.27,1.52,4.33,2.95,1.29,2.26,1.80,1.20,1.89,1.98
"People v. Shahideh, 482 Mich. 1156.txt",1,665,33.83,1.65,3.61,3.16,1.35,1.05,0.75,5.41,2.71,2.11
"Callahan v. Bd. of State Canvassers, 467 Mich. 864.txt",1,1148,30.40,2.26,4.09,3.05,2.09,2.00,1.57,1.31,1.48,2.35
"Ader v. Delta College Bd. of Trs., 488 Mich. 1025.txt",1,157,26.11,0.64,3.18,1.27,0.64,0.64,0.00,1.27,1.91,0.64
"Gulf Underwriters Ins. Co. v. McClain Indus., 483 Mich. 1010.txt",1,339,36.87,2.65,3.24,2.06,0.00,2.36,0.59,1.77,2.06,2.65
"In re Parole of Franciosi, 231 Mich. App. 607.txt",1,340,24.41,0.59,4.41,3.24,0.88,2.06,0.88,0.00,3.53,1.18
"People v. Delapaz, 500 Mich. 893.txt",1,372,29.30,0.54,4.03,2.42,1.61,2.15,1.08,2.42,3.76,2.42
"People v. Morson, 471 Mich. 248.txt",1,938,29.53,0.85,2.35,2.56,0.96,2.67,1.28,1.28,3.62,2.13
"People v. Gaston (In re Forfeiture of Bail Bond), 496 Mich. 320.txt",1,1186,27.74,1.52,2.61,2.70,1.69,2.02,2.45,4.30,2.78,2.53
"Waeschle v. Oakland County Med. Exam'r (In re Certified Question), 488 Mich. 1.txt",1,186,27.42,0.54,6.99,1.08,2.15,4.30,0.54,0.54,0.00,0.54
"Laporte v. William Beaumont Hosp., 472 Mich. 892.txt",1,130,21.54,0.00,0.77,0.77,0.77,1.54,0.77,0.77,3.85,0.77
"Carter v. Persinger (In re Estate of Cliffman), 500 Mich. 968.txt",1,3041,28.64,1.09,2.43,1.97,1.45,2.14,1.28,0.62,2.99,2.40
"Blackhawk Dev. Corp. v. Vill. of Dexter, 473 Mich. 33.txt",1,247,36.84,1.62,2.43,6.88,1.21,2.02,2.02,0.81,0.81,1.62
"People v. Bonilla-Machado, 489 Mich. 412.txt",1,1854,33.12,1.56,3.40,2.80,1.46,3.24,1.73,2.27,1.73,3.45
"O'Neal v. St. John Hosp. & Med. Ctr., 487 Mich. 485.txt",1,5301,28.69,1.32,2.32,3.51,2.62,3.41,1.58,0.75,2.21,3.00
"Brown v. Blouir, 489 Mich. 959.txt",1,2043,32.65,2.06,3.92,2.01,1.32,1.86,1.86,1.03,2.40,1.91
"THIRMAN v. D & T CEMENT, INC., 1998 Mich. App. LEXIS 1827.txt",1,473,28.54,1.27,3.17,2.75,0.85,1.69,1.27,1.27,1.48,1.69
"Capuzzi v. Fisher, 470 Mich. 399.txt",1,1674,28.85,1.43,2.45,2.33,0.72,0.90,2.21,1.49,2.45,1.73
"People v. McKay, 474 Mich. 967.txt",1,683,28.40,2.64,4.10,1.32,1.02,1.90,1.02,1.02,2.34,2.20
"Sands Appliance Servs. v. Wilson, 463 Mich. 231.txt",1,570,30.00,1.23,1.58,2.28,0.70,2.98,1.05,1.40,2.11,4.04
"Zahn v. Kroger Co., 483 Mich. 34.txt",1,1239,26.88,1.21,2.82,2.02,1.29,2.10,3.07,0.65,3.55,1.45
"Lansing Schs. Educ. Ass'n v. Lansing Bd. of Educ., 780 N.W.2d 751.txt",1,384,32.03,0.52,3.91,0.26,1.04,1.56,1.56,0.26,2.86,1.30
"Robinson v. City of Lansing, 486 Mich. 1.txt",1,1196,31.44,1.59,4.01,3.01,1.59,2.42,2.09,1.59,2.26,2.09
"People v. Wilcox, 486 Mich. 60.txt",1,1103,36.72,1.45,1.54,2.72,1.09,1.54,1.81,0.82,2.63,2.54
"Griev. Adm'r v. Canady, 489 Mich. 865.txt",1,967,34.02,0.41,2.69,2.69,1.03,0.93,2.17,1.86,3.62,1.45
"Allstate Ins. Co. v. McCarn, 471 Mich. 283.txt",1,920,35.54,0.98,5.87,6.30,3.15,4.35,2.72,0.76,1.63,2.83
"People v. Scott, 474 Mich. 1012.txt",1,252,28.17,1.98,1.19,1.98,0.79,1.19,0.79,0.40,1.19,2.38
"Petersen v. Magna Corp., 484 Mich. 300.txt",1,11193,31.79,1.10,4.62,2.70,1.57,4.07,1.87,0.85,2.74,2.75
"People v. Robinson, 480 Mich. 947.txt",1,208,25.00,0.48,0.48,0.48,0.48,0.48,0.00,2.40,3.37,0.96
"In re James, 490 Mich. 936.txt",1,1036,31.76,2.32,2.51,2.80,1.06,1.93,2.41,1.93,1.93,2.61
"In re Moore, 650 N.W.2d 323.txt",1,62,33.87,0.00,6.45,1.61,0.00,1.61,0.00,1.61,1.61,0.00
"People v. Mitchell, 478 Mich. 905.txt",1,262,21.76,1.91,4.96,2.67,1.15,3.05,1.91,0.38,1.91,2.67
"Decosta v. Gossage, 483 Mich. 963.txt",1,128,28.91,0.78,3.91,0.78,2.34,3.12,0.00,0.78,1.56,2.34
"Davis v. Emergency Manager for the Detroit Pub. Sch., 491 Mich. 899.txt",1,1855,30.24,1.08,1.99,1.78,0.92,1.62,0.81,1.40,2.21,1.67
"J & J Constr. Co. v. Bricklayers & Allied Craftsmen, Local 1, 468 Mich. 722.txt",1,4621,31.29,0.84,3.64,1.77,0.84,1.26,1.71,0.78,2.55,1.54
"Amco Builders & Developers, Inc. v. Team Ace Joint Venture, 469 Mich. 90.txt",1,1967,27.30,1.53,2.29,2.49,1.53,2.19,1.27,3.20,2.08,2.29
"People v. Twichell, 488 Mich. 883.txt",1,73,26.03,0.00,4.11,5.48,0.00,2.74,0.00,1.37,0.00,1.37
"People v. Parsons, 728 N.W.2d 62.txt",1,1392,26.36,2.01,3.59,2.37,0.93,1.87,1.36,0.79,3.16,2.87
"Taylor v. Taylor, 482 Mich. 1060.txt",1,163,20.86,1.23,3.68,0.61,1.84,2.45,0.00,0.61,4.91,2.45
"G.C. Timmis & Co. v. Guardian Alarm Co., 468 Mich. 416.txt",1,2994,29.23,1.30,3.27,1.84,0.80,4.38,2.64,0.84,1.74,4.18
"United States Fid. Ins. & Guar. Co. v. Mich. Catastrophic Claims Ass'n, 484 Mich. 1.txt",1,1647,32.97,2.13,3.52,2.49,1.70,1.82,0.55,0.97,2.73,2.43
"People v. Bailey, 486 Mich. 1066.txt",1,246,37.40,0.81,5.69,2.85,1.22,1.22,3.66,1.63,2.03,2.44
"State Auto. Mut. Ins. Co. v. Fieger, 477 Mich. 1068.txt",1,1815,28.26,0.88,1.16,4.19,1.60,2.15,1.05,1.05,1.49,2.09
"People v. Borgne, 483 Mich. 178.txt",1,69,28.99,1.45,4.35,2.90,0.00,2.90,0.00,1.45,4.35,2.90
"Neci v. Steel, 488 Mich. 971.txt",1,605,33.39,2.48,2.98,1.65,1.98,2.98,1.32,1.65,3.31,1.65
"Wilcox v. State Farm Mut. Auto. Ins. Co., 773 N.W.2d 691.txt",1,41,19.51,0.00,4.88,2.44,2.44,0.00,0.00,2.44,0.00,0.00
"Am. Transmissions v. Ag, 216 Mich. App. 119.txt",1,770,32.08,1.43,4.42,3.77,0.78,1.69,1.56,3.51,2.08,2.08
"Hoover v. Mich. Mut. Ins. Co., 485 Mich. 881.txt",1,363,26.17,0.83,3.58,0.83,1.10,0.55,1.38,0.83,2.20,1.38
"Dascola v. YMCA of Lansing, 490 Mich. 899.txt",1,715,29.79,1.40,3.50,2.66,1.54,3.08,5.03,1.82,5.03,2.94
"Zsigo v. Hurley Med. Ctr., 475 Mich. 215.txt",1,201,26.87,0.50,1.00,1.49,0.50,1.99,0.00,1.00,1.99,0.50
"Plaggemeyer v. Lee, 773 N.W.2d 722.txt",1,36,27.78,0.00,5.56,2.78,2.78,0.00,0.00,2.78,0.00,0.00
"Mickel v. Wilson, 489 Mich. 947.txt",1,661,35.55,1.51,2.42,3.03,3.03,1.97,1.51,1.06,2.42,1.97
"People v. Mushatt, 486 Mich. 934.txt",1,50,28.00,0.00,0.00,4.00,0.00,0.00,0.00,2.00,4.00,0.00
"Dep't of Human Servs. v. Rood (In re Rood), 483 Mich. 73.txt",1,1050,28.48,1.43,3.81,3.62,1.81,1.90,2.00,1.62,3.33,1.62
"Mich. United Conservation Clubs v. Sec'y of State, 464 Mich. 359.txt",1,7826,28.85,1.43,5.01,2.54,1.24,2.25,1.50,1.20,2.24,2.22
"Anglers of the AuSable, Inc. v. Dep't of Envtl. Quality, 486 Mich. 982.txt",1,2625,27.89,1.94,2.02,1.64,0.95,1.94,1.75,1.10,3.01,2.29
"Sciotti v. 36th Dist. Court, 482 Mich. 1143.txt",1,233,31.33,1.72,3.86,1.72,0.86,1.72,0.43,2.58,1.29,2.15
"James v. W. A. Foote Mem'l Hosp., 735 N.W.2d 213.txt",1,252,31.75,1.98,4.76,3.57,0.40,1.19,0.79,3.97,3.57,2.78
"In re Certified Question v. Philip Morris Inc. ex rel. State, 622 N.W.2d 518.txt",1,71,32.39,1.41,7.04,2.82,1.41,1.41,0.00,0.00,2.82,1.41
"Colin Communs., Inc. v. SBC Global Servs., 471 Mich. 878.txt",1,130,25.38,0.77,2.31,0.77,0.00,1.54,0.77,0.77,3.85,0.77
"Miller v. Cooper, 488 Mich. 909.txt",1,56,25.00,1.79,3.57,1.79,0.00,3.57,0.00,1.79,0.00,0.00
"Davis v. Wheeler, 483 Mich. 949.txt",1,459,22.22,1.09,1.09,0.44,0.22,0.65,1.31,3.49,1.96,1.09
"Idalski v. Schwedt, 486 Mich. 916.txt",1,252,22.62,1.59,5.56,2.78,1.19,1.19,1.19,1.19,3.57,2.38
"People v. Luckett, 485 Mich. 1076.txt",1,456,36.40,3.07,2.19,1.97,0.22,2.63,1.10,0.22,1.75,4.17
"Pollard v. Suburban Mobility Auth. for Reg'l Transp., 486 Mich. 963.txt",1,264,24.24,1.52,5.68,2.27,1.14,1.14,1.14,1.14,3.41,2.27
"People v. Wallace, 1997 Mich. App. LEXIS 2845.txt",1,625,31.84,1.44,2.24,1.92,0.96,1.92,0.80,4.80,1.92,2.08
"People v. Nyx, 480 Mich. 1204.txt",1,242,8.26,0.00,0.00,0.00,0.00,0.00,0.41,0.41,0.00,0.00
"People v. Lenderman, 485 Mich. 921.txt",1,54,22.22,0.00,0.00,1.85,0.00,1.85,0.00,1.85,1.85,0.00
"People v. Nyx, 479 Mich. 112.txt",1,8861,30.81,1.53,3.35,3.44,1.00,2.58,2.07,1.61,2.89,2.55
"Cent. Ceiling & Partition, Inc. v. DOC, 474 Mich. 990.txt",1,852,27.35,1.76,1.53,2.11,1.06,1.17,0.59,1.29,4.58,2.35
"Cottrill v. Senter, 488 Mich. 908.txt",1,56,25.00,1.79,3.57,1.79,0.00,3.57,0.00,1.79,0.00,0.00
"In re Gilbert, 469 Mich. 1224.txt",1,471,29.72,1.27,2.97,1.70,1.06,2.12,0.42,1.27,2.97,1.70
"Romain v. Frankenmuth Mut. Ins. Co., 483 Mich. 18.txt",1,2831,28.58,1.34,3.04,3.21,1.84,2.40,2.12,2.26,3.99,3.04
"Veliz v. Cintas Corp. (In re Certified Question), 474 Mich. 1228.txt",1,479,27.35,1.25,4.59,3.13,1.46,2.92,1.04,2.09,2.30,1.88
